Type,DataSource,Method,weat1,weat2,weat6,weat7,weat8,weat9
contextual,ALL,distilbert-CLS,-0.097 (0.637),0.260 (0.183),0.270 (0.299),1.522 (0.000),1.262 (0.003),-0.023 (0.519)
contextual,ALL,distilbert-last-hidden-subword-first,0.044 (0.438),-0.419 (0.929),-0.266 (0.697),0.132 (0.398),-0.159 (0.621),-0.200 (0.624)
contextual,ALL,distilbert-last-hidden-subword-avg,-0.134 (0.687),-0.294 (0.845),-0.195 (0.599),0.526 (0.155),-0.177 (0.607),0.556 (0.173)
contextual,ALL,distilbert-2nd-last-layer-subword-first,0.039 (0.445),-0.429 (0.933),-0.142 (0.607),-0.183 (0.635),-0.249 (0.685),0.041 (0.484)
contextual,ALL,distilbert-2nd-last-layer-subword-avg,-0.267 (0.835),-0.329 (0.874),-0.118 (0.556),0.350 (0.238),-0.248 (0.643),0.770 (0.104)
contextual,ALL,distilbert-avg-all-hidden-subword-first,0.121 (0.331),-0.429 (0.934),0.056 (0.456),0.221 (0.328),-0.065 (0.551),-0.135 (0.584)
contextual,ALL,distilbert-avg-all-hidden-subword-avg,-0.147 (0.703),-0.269 (0.823),-0.136 (0.552),0.386 (0.217),-0.235 (0.654),0.641 (0.143)
contextual,GT,distilbert-CLS,-0.220 (0.780),0.066 (0.410),0.833 (0.048),1.389 (0.001),0.941 (0.030),0.474 (0.235)
contextual,GT,distilbert-last-hidden-subword-first,-0.289 (0.846),-0.570 (0.978),-0.046 (0.540),0.387 (0.225),-0.094 (0.584),0.099 (0.431)
contextual,GT,distilbert-last-hidden-subword-avg,-0.398 (0.921),-0.381 (0.908),0.144 (0.350),0.670 (0.104),-0.005 (0.502),0.005 (0.498)
contextual,GT,distilbert-2nd-last-layer-subword-first,-0.287 (0.844),-0.522 (0.967),-0.048 (0.537),0.119 (0.410),-0.131 (0.597),0.645 (0.141)
contextual,GT,distilbert-2nd-last-layer-subword-avg,-0.482 (0.956),-0.379 (0.908),0.191 (0.328),0.562 (0.133),-0.150 (0.606),-0.041 (0.518)
contextual,GT,distilbert-avg-all-hidden-subword-first,-0.128 (0.675),-0.630 (0.988),-0.004 (0.503),0.266 (0.302),0.123 (0.408),-0.431 (0.767)
contextual,GT,distilbert-avg-all-hidden-subword-avg,-0.275 (0.836),-0.332 (0.875),0.123 (0.359),0.575 (0.128),-0.032 (0.524),-0.497 (0.811)
contextual,HT,distilbert-CLS,-0.160 (0.713),0.175 (0.271),0.270 (0.299),1.538 (0.000),0.941 (0.030),-0.023 (0.519)
contextual,HT,distilbert-last-hidden-subword-first,-0.143 (0.693),-0.440 (0.939),-0.266 (0.697),0.260 (0.306),-0.094 (0.584),-0.200 (0.624)
contextual,HT,distilbert-last-hidden-subword-avg,-0.278 (0.837),-0.304 (0.853),-0.195 (0.599),0.621 (0.118),-0.005 (0.502),0.556 (0.173)
contextual,HT,distilbert-2nd-last-layer-subword-first,-0.136 (0.685),-0.435 (0.936),-0.142 (0.607),0.158 (0.381),-0.131 (0.597),0.041 (0.484)
contextual,HT,distilbert-2nd-last-layer-subword-avg,-0.371 (0.906),-0.335 (0.879),-0.118 (0.556),0.503 (0.159),-0.150 (0.606),0.770 (0.104)
contextual,HT,distilbert-avg-all-hidden-subword-first,-0.067 (0.593),-0.434 (0.937),0.056 (0.456),0.390 (0.222),0.123 (0.408),-0.135 (0.584)
contextual,HT,distilbert-avg-all-hidden-subword-avg,-0.169 (0.725),-0.280 (0.833),-0.136 (0.552),0.518 (0.153),-0.032 (0.524),0.641 (0.143)
static,ALL,fasttext,1.277 (0.000),1.210 (0.000),1.651 (0.000),0.189 (0.353),0.100 (0.419),0.764 (0.095)
static,ALL,distilbert-layer-0-subword-first,0.185 (0.252),-0.220 (0.779),0.428 (0.205),0.050 (0.459),-0.329 (0.744),0.185 (0.407)
static,ALL,distilbert-layer-0-subword-avg,-0.039 (0.556),-0.174 (0.723),-0.054 (0.509),0.220 (0.327),-0.344 (0.752),0.315 (0.315)
static,GT,fasttext,0.917 (0.000),0.698 (0.006),1.772 (0.000),0.425 (0.206),-0.018 (0.516),0.121 (0.420)
static,GT,distilbert-layer-0-subword-first,0.012 (0.485),-0.539 (0.972),0.216 (0.339),0.117 (0.411),-0.174 (0.631),-0.190 (0.614)
static,GT,distilbert-layer-0-subword-avg,-0.193 (0.755),-0.273 (0.829),0.180 (0.315),0.403 (0.213),-0.289 (0.713),-0.792 (0.911)
static,HT,fasttext,1.092 (0.000),1.030 (0.000),1.651 (0.000),0.563 (0.134),-0.018 (0.516),0.764 (0.095)
static,HT,distilbert-layer-0-subword-first,-0.016 (0.525),-0.303 (0.852),0.428 (0.205),0.114 (0.411),-0.174 (0.631),0.185 (0.407)
static,HT,distilbert-layer-0-subword-avg,-0.105 (0.647),-0.192 (0.741),-0.054 (0.509),0.325 (0.255),-0.289 (0.713),0.315 (0.315)
