Type,DataSource,Method,weat1,weat2,weat6,weat7,weat8,weat9
contextual,ALL,distilbert-CLS,0.793 (0.000),0.287 (0.151),-0.350 (0.734),-0.020 (0.511),-1.043 (0.993),-0.572 (0.856)
contextual,ALL,distilbert-last-hidden-subword-first,-0.046 (0.570),-0.181 (0.742),0.603 (0.136),0.030 (0.478),-0.232 (0.697),-0.710 (0.920)
contextual,ALL,distilbert-last-hidden-subword-avg,0.678 (0.003),0.456 (0.049),0.702 (0.085),0.254 (0.310),-0.234 (0.697),-1.009 (0.980)
contextual,ALL,distilbert-2nd-last-layer-subword-first,-0.057 (0.588),-0.193 (0.754),0.434 (0.236),0.235 (0.317),-0.163 (0.641),-0.738 (0.925)
contextual,ALL,distilbert-2nd-last-layer-subword-avg,0.851 (0.000),0.327 (0.120),0.405 (0.221),0.299 (0.326),-0.012 (0.510),-0.791 (0.940)
contextual,ALL,distilbert-avg-all-hidden-subword-first,0.007 (0.487),-0.120 (0.666),0.315 (0.276),-0.342 (0.753),-0.202 (0.669),-0.545 (0.851)
contextual,ALL,distilbert-avg-all-hidden-subword-avg,0.639 (0.005),0.260 (0.177),0.344 (0.276),-0.060 (0.548),0.366 (0.213),-0.539 (0.850)
contextual,GT,distilbert-CLS,0.265 (0.176),0.338 (0.116),-0.255 (0.591),0.128 (0.403),-0.207 (0.655),0.294 (0.314)
contextual,GT,distilbert-last-hidden-subword-first,-0.215 (0.775),0.006 (0.490),0.431 (0.200),0.290 (0.289),-0.535 (0.862),-0.418 (0.764)
contextual,GT,distilbert-last-hidden-subword-avg,0.093 (0.373),0.571 (0.020),-0.046 (0.534),0.594 (0.123),-0.492 (0.769),-0.203 (0.628)
contextual,GT,distilbert-2nd-last-layer-subword-first,-0.227 (0.788),-0.006 (0.506),0.373 (0.228),0.401 (0.217),-0.545 (0.859),-0.474 (0.771)
contextual,GT,distilbert-2nd-last-layer-subword-avg,0.233 (0.207),0.330 (0.125),-0.386 (0.773),0.492 (0.194),-0.539 (0.828),-0.308 (0.692)
contextual,GT,distilbert-avg-all-hidden-subword-first,-0.216 (0.774),0.152 (0.297),0.240 (0.343),0.062 (0.439),-0.562 (0.857),-0.488 (0.782)
contextual,GT,distilbert-avg-all-hidden-subword-avg,0.194 (0.252),0.437 (0.062),-0.140 (0.606),0.166 (0.396),-0.359 (0.614),-0.287 (0.688)
contextual,HT,distilbert-CLS,0.742 (0.003),0.384 (0.089),-0.350 (0.734),-0.003 (0.502),-0.327 (0.738),-0.503 (0.800)
contextual,HT,distilbert-last-hidden-subword-first,0.061 (0.416),-0.106 (0.643),0.603 (0.136),0.217 (0.339),-0.553 (0.860),-0.529 (0.811)
contextual,HT,distilbert-last-hidden-subword-avg,0.597 (0.017),0.582 (0.017),0.702 (0.085),0.513 (0.164),-0.298 (0.719),-0.375 (0.727)
contextual,HT,distilbert-2nd-last-layer-subword-first,0.033 (0.454),-0.136 (0.681),0.434 (0.236),0.302 (0.280),-0.506 (0.838),-0.567 (0.825)
contextual,HT,distilbert-2nd-last-layer-subword-avg,0.821 (0.001),0.422 (0.068),0.405 (0.221),0.432 (0.236),-0.418 (0.791),-0.386 (0.738)
contextual,HT,distilbert-avg-all-hidden-subword-first,0.072 (0.402),0.040 (0.443),0.315 (0.276),-0.006 (0.509),-0.536 (0.841),-0.560 (0.817)
contextual,HT,distilbert-avg-all-hidden-subword-avg,0.746 (0.004),0.445 (0.058),0.344 (0.276),0.110 (0.440),0.191 (0.360),-0.390 (0.729)
static,ALL,fasttext,1.191 (0.000),1.138 (0.000),0.682 (0.094),0.708 (0.075),0.160 (0.361),-0.739 (0.923)
static,ALL,distilbert-layer-0-subword-first,0.060 (0.406),0.025 (0.467),0.131 (0.287),-0.353 (0.773),-0.184 (0.648),-0.458 (0.801)
static,ALL,distilbert-layer-0-subword-avg,0.448 (0.035),0.294 (0.150),0.360 (0.285),-0.411 (0.755),0.407 (0.187),-0.497 (0.826)
static,GT,fasttext,0.858 (0.001),1.064 (0.000),0.756 (0.067),0.639 (0.102),-0.089 (0.569),-1.286 (0.995)
static,GT,distilbert-layer-0-subword-first,-0.243 (0.800),0.274 (0.171),0.144 (0.443),-0.035 (0.544),-0.511 (0.835),-0.411 (0.756)
static,GT,distilbert-layer-0-subword-avg,0.127 (0.331),0.544 (0.026),-0.038 (0.526),-0.201 (0.601),-0.357 (0.563),-0.216 (0.642)
static,HT,fasttext,0.934 (0.000),1.047 (0.000),0.682 (0.094),0.936 (0.030),-0.069 (0.552),-1.353 (0.996)
static,HT,distilbert-layer-0-subword-first,0.078 (0.396),0.193 (0.252),0.131 (0.287),-0.045 (0.560),-0.466 (0.806),-0.494 (0.787)
static,HT,distilbert-layer-0-subword-avg,0.576 (0.021),0.492 (0.039),0.360 (0.285),-0.221 (0.613),0.319 (0.288),-0.271 (0.675)
