Type,DataSource,Method,weat11,weat12,weat13,weat14,weat15
contextual,NEW_HT,xlmr-CLS,0.090 (0.495),-0.515 (0.810),-0.290 (0.732),0.603 (0.092),0.405 (0.187)
contextual,NEW_HT,xlmr-last-hidden-subword-first,-0.319 (0.751),-0.150 (0.628),0.582 (0.093),-1.027 (0.992),-0.243 (0.703)
contextual,NEW_HT,xlmr-last-hidden-subword-avg,0.341 (0.230),0.264 (0.286),0.128 (0.396),-1.203 (0.997),-0.317 (0.756)
contextual,NEW_HT,xlmr-2nd-last-layer-subword-first,-0.557 (0.884),-0.053 (0.544),0.565 (0.105),-1.158 (0.997),0.041 (0.484)
contextual,NEW_HT,xlmr-2nd-last-layer-subword-avg,0.244 (0.299),-0.099 (0.571),0.124 (0.392),-1.110 (0.995),-0.214 (0.679)
contextual,NEW_HT,xlmr-avg-all-hidden-subword-first,0.008 (0.493),0.332 (0.251),0.640 (0.076),-1.388 (1.000),0.072 (0.439)
contextual,NEW_HT,xlmr-avg-all-hidden-subword-avg,0.454 (0.168),0.548 (0.114),-0.043 (0.544),-0.919 (0.981),-0.089 (0.577)
static,NEW_HT,fasttext,0.681 (0.066),-0.947 (0.983),0.270 (0.286),1.092 (0.003),0.160 (0.366)
static,NEW_HT,xlmr-layer-0-subword-first,-0.232 (0.692),0.497 (0.135),0.534 (0.123),-0.445 (0.836),0.547 (0.118)
static,NEW_HT,xlmr-layer-0-subword-avg,-0.102 (0.587),0.461 (0.153),0.113 (0.396),0.125 (0.393),0.999 (0.011)
