Type,DataSource,Method,weat1,weat2,weat6,weat7,weat8,weat9
contextual,ALL,xlmr-CLS,0.761 (0.002),-0.697 (0.999),0.184 (0.358),0.018 (0.485),-0.193 (0.622),-0.614 (0.879)
contextual,ALL,xlmr-last-hidden-subword-first,0.013 (0.481),0.058 (0.407),0.589 (0.116),0.139 (0.385),0.277 (0.287),-0.632 (0.879)
contextual,ALL,xlmr-last-hidden-subword-avg,0.118 (0.330),-0.037 (0.565),0.450 (0.179),-0.025 (0.522),0.036 (0.468),-0.663 (0.889)
contextual,ALL,xlmr-2nd-last-layer-subword-first,0.205 (0.247),0.130 (0.299),0.542 (0.139),-0.058 (0.550),-0.077 (0.560),0.193 (0.367)
contextual,ALL,xlmr-2nd-last-layer-subword-avg,-0.059 (0.588),0.086 (0.355),0.421 (0.197),-0.035 (0.531),-0.142 (0.610),-0.487 (0.815)
contextual,ALL,xlmr-avg-all-hidden-subword-first,0.247 (0.202),0.306 (0.098),0.456 (0.174),-0.223 (0.684),0.031 (0.466),-0.590 (0.848)
contextual,ALL,xlmr-avg-all-hidden-subword-avg,0.430 (0.054),0.157 (0.251),0.362 (0.232),-0.204 (0.670),-0.416 (0.802),-0.631 (0.882)
contextual,GT,xlmr-CLS,0.791 (0.002),0.564 (0.023),-0.152 (0.619),0.063 (0.457),-0.731 (0.926),-0.566 (0.794)
contextual,GT,xlmr-last-hidden-subword-first,-0.401 (0.922),-0.084 (0.615),0.273 (0.291),-0.666 (0.903),-0.256 (0.688),-0.735 (0.896)
contextual,GT,xlmr-last-hidden-subword-avg,-0.384 (0.912),-0.119 (0.663),0.258 (0.302),-0.568 (0.857),-0.236 (0.674),-0.890 (0.936)
contextual,GT,xlmr-2nd-last-layer-subword-first,0.007 (0.490),0.108 (0.361),0.267 (0.299),-0.711 (0.920),-0.133 (0.593),-0.082 (0.544)
contextual,GT,xlmr-2nd-last-layer-subword-avg,-0.566 (0.978),-0.053 (0.574),0.262 (0.303),-0.497 (0.822),-0.113 (0.577),-0.920 (0.944)
contextual,GT,xlmr-avg-all-hidden-subword-first,-0.258 (0.817),0.441 (0.059),0.207 (0.337),-0.243 (0.678),0.080 (0.436),-0.665 (0.866)
contextual,GT,xlmr-avg-all-hidden-subword-avg,-0.235 (0.794),0.216 (0.228),0.225 (0.323),-0.133 (0.598),-0.000 (0.500),-0.683 (0.871)
contextual,HT,xlmr-CLS,0.515 (0.034),0.786 (0.000),0.068 (0.448),0.063 (0.457),-0.731 (0.926),-0.566 (0.794)
contextual,HT,xlmr-last-hidden-subword-first,-0.203 (0.756),0.062 (0.416),0.595 (0.113),-0.666 (0.903),-0.256 (0.688),-0.735 (0.896)
contextual,HT,xlmr-last-hidden-subword-avg,0.018 (0.475),-0.050 (0.571),0.458 (0.176),-0.568 (0.857),-0.236 (0.674),-0.890 (0.936)
contextual,HT,xlmr-2nd-last-layer-subword-first,-0.353 (0.886),0.213 (0.237),0.548 (0.135),-0.711 (0.920),-0.133 (0.593),-0.082 (0.544)
contextual,HT,xlmr-2nd-last-layer-subword-avg,-0.852 (0.999),-0.159 (0.707),0.427 (0.194),-0.497 (0.822),-0.113 (0.577),-0.920 (0.944)
contextual,HT,xlmr-avg-all-hidden-subword-first,-0.805 (0.999),0.434 (0.063),0.467 (0.169),-0.243 (0.678),0.080 (0.436),-0.665 (0.866)
contextual,HT,xlmr-avg-all-hidden-subword-avg,-0.850 (0.999),0.174 (0.273),0.369 (0.229),-0.133 (0.598),-0.000 (0.500),-0.683 (0.871)
static,ALL,fasttext,1.562 (0.000),1.076 (0.000),0.310 (0.268),-0.403 (0.794),-0.156 (0.620),-0.088 (0.545)
static,ALL,xlmr-layer-0-subword-first,1.160 (0.000),0.469 (0.020),-0.003 (0.503),0.261 (0.292),0.430 (0.253),-0.570 (0.854)
static,ALL,xlmr-layer-0-subword-avg,1.358 (0.000),-0.166 (0.764),0.027 (0.479),0.041 (0.466),0.114 (0.406),-0.761 (0.924)
static,GT,fasttext,1.378 (0.000),0.761 (0.003),0.390 (0.225),-0.415 (0.743),-0.221 (0.645),0.138 (0.409)
static,GT,xlmr-layer-0-subword-first,0.772 (0.002),0.971 (0.000),-0.072 (0.559),1.220 (0.008),0.551 (0.166),-0.443 (0.763)
static,GT,xlmr-layer-0-subword-avg,1.003 (0.000),0.518 (0.034),-0.021 (0.516),1.196 (0.008),0.524 (0.167),-0.713 (0.883)
static,HT,fasttext,1.609 (0.000),0.847 (0.001),0.416 (0.204),-0.415 (0.743),-0.221 (0.645),0.138 (0.409)
static,HT,xlmr-layer-0-subword-first,0.110 (0.354),0.971 (0.000),0.080 (0.436),1.220 (0.008),0.551 (0.166),-0.443 (0.763)
static,HT,xlmr-layer-0-subword-avg,0.975 (0.000),0.408 (0.077),0.135 (0.393),1.196 (0.008),0.524 (0.167),-0.713 (0.883)
