Type,DataSource,Method,weat1,weat2,weat6,weat7,weat8,weat9
contextual,ALL,xlmr-CLS,-0.004 (0.508),0.285 (0.156),0.992 (0.021),-0.681 (0.920),0.404 (0.179),-0.600 (0.918)
contextual,ALL,xlmr-last-hidden-subword-first,0.134 (0.304),-0.227 (0.808),-0.731 (0.927),0.003 (0.497),-0.229 (0.693),-0.865 (0.990)
contextual,ALL,xlmr-last-hidden-subword-avg,0.173 (0.254),-0.065 (0.600),-0.675 (0.907),0.164 (0.360),0.525 (0.115),-0.699 (0.948)
contextual,ALL,xlmr-2nd-last-layer-subword-first,0.076 (0.386),-0.235 (0.818),-0.875 (0.991),0.518 (0.132),0.398 (0.198),-0.709 (0.982)
contextual,ALL,xlmr-2nd-last-layer-subword-avg,0.118 (0.329),0.102 (0.352),-1.113 (0.992),0.378 (0.211),0.330 (0.230),-0.779 (0.966)
contextual,ALL,xlmr-avg-all-hidden-subword-first,0.050 (0.424),-0.268 (0.849),-0.737 (0.927),0.474 (0.154),0.290 (0.258),-0.751 (0.984)
contextual,ALL,xlmr-avg-all-hidden-subword-avg,0.192 (0.237),0.040 (0.443),-0.813 (0.947),0.074 (0.433),0.226 (0.306),-0.832 (0.975)
contextual,GT,xlmr-CLS,-0.112 (0.584),0.298 (0.169),0.230 (0.337),0.738 (0.072),-0.362 (0.763),-0.755 (0.891)
contextual,GT,xlmr-last-hidden-subword-first,0.158 (0.291),-0.155 (0.705),-0.303 (0.724),-0.210 (0.620),0.479 (0.173),-1.288 (0.998)
contextual,GT,xlmr-last-hidden-subword-avg,0.342 (0.117),-0.072 (0.599),-0.520 (0.845),0.244 (0.327),0.276 (0.295),-1.424 (0.992)
contextual,GT,xlmr-2nd-last-layer-subword-first,-0.135 (0.681),-0.295 (0.845),-0.025 (0.535),0.934 (0.009),0.514 (0.156),-0.975 (0.992)
contextual,GT,xlmr-2nd-last-layer-subword-avg,0.086 (0.387),-0.103 (0.637),-0.350 (0.745),0.788 (0.060),0.326 (0.269),-1.368 (0.990)
contextual,GT,xlmr-avg-all-hidden-subword-first,-0.019 (0.527),-0.308 (0.857),0.204 (0.346),1.067 (0.016),0.352 (0.251),-1.000 (0.995)
contextual,GT,xlmr-avg-all-hidden-subword-avg,0.209 (0.240),-0.078 (0.604),-0.356 (0.753),0.290 (0.285),0.255 (0.315),-1.401 (0.992)
contextual,HT,xlmr-CLS,0.002 (0.499),0.405 (0.073),0.992 (0.021),0.195 (0.370),-0.308 (0.725),-0.755 (0.891)
contextual,HT,xlmr-last-hidden-subword-first,0.301 (0.147),-0.112 (0.652),-0.731 (0.927),0.189 (0.357),0.488 (0.168),-1.288 (0.998)
contextual,HT,xlmr-last-hidden-subword-avg,0.398 (0.081),0.006 (0.492),-0.675 (0.907),0.265 (0.308),0.235 (0.323),-1.424 (0.992)
contextual,HT,xlmr-2nd-last-layer-subword-first,0.201 (0.244),-0.219 (0.775),-0.875 (0.991),0.796 (0.057),0.501 (0.163),-0.975 (0.992)
contextual,HT,xlmr-2nd-last-layer-subword-avg,0.119 (0.342),0.053 (0.430),-1.113 (0.992),0.501 (0.164),0.241 (0.326),-1.368 (0.990)
contextual,HT,xlmr-avg-all-hidden-subword-first,0.224 (0.220),-0.170 (0.722),-0.737 (0.927),0.873 (0.047),0.370 (0.240),-1.000 (0.995)
contextual,HT,xlmr-avg-all-hidden-subword-avg,0.272 (0.180),0.059 (0.420),-0.813 (0.947),0.344 (0.251),0.186 (0.363),-1.401 (0.992)
static,ALL,fasttext,1.371 (0.000),1.351 (0.000),1.269 (0.000),0.759 (0.049),0.786 (0.031),-0.279 (0.739)
static,ALL,xlmr-layer-0-subword-first,0.164 (0.267),0.039 (0.441),-0.783 (0.940),0.110 (0.412),-0.268 (0.731),-0.167 (0.629)
static,ALL,xlmr-layer-0-subword-avg,0.335 (0.106),0.363 (0.082),-0.920 (0.968),0.360 (0.225),0.076 (0.433),0.021 (0.481)
static,GT,fasttext,1.105 (0.000),1.192 (0.000),1.247 (0.005),0.613 (0.113),0.801 (0.059),-0.603 (0.819)
static,GT,xlmr-layer-0-subword-first,-0.171 (0.723),-0.186 (0.741),0.575 (0.128),0.803 (0.054),-0.706 (0.915),-0.314 (0.659)
static,GT,xlmr-layer-0-subword-avg,0.019 (0.475),0.154 (0.298),0.178 (0.347),0.964 (0.025),-0.394 (0.761),-0.666 (0.872)
static,HT,fasttext,1.324 (0.000),1.263 (0.000),1.269 (0.000),0.730 (0.074),0.797 (0.060),-0.603 (0.819)
static,HT,xlmr-layer-0-subword-first,-0.014 (0.521),0.156 (0.293),-0.783 (0.940),1.026 (0.014),-0.755 (0.933),-0.314 (0.659)
static,HT,xlmr-layer-0-subword-avg,0.150 (0.322),0.322 (0.130),-0.920 (0.968),0.917 (0.032),-0.639 (0.882),-0.666 (0.872)
