Type,DataSource,Method,weat1,weat2,weat6,weat7,weat8,weat9
contextual,ALL,xlmr-CLS,0.732 (0.003),0.352 (0.239),0.050 (0.494),-1.131 (0.996),-0.707 (0.924),-0.425 (0.672)
contextual,ALL,xlmr-last-hidden-subword-first,-0.118 (0.662),0.128 (0.336),-0.123 (0.594),0.015 (0.486),0.378 (0.359),0.528 (0.193)
contextual,ALL,xlmr-last-hidden-subword-avg,-0.067 (0.596),0.338 (0.118),-0.158 (0.618),0.288 (0.285),-0.027 (0.516),-0.018 (0.510)
contextual,ALL,xlmr-2nd-last-layer-subword-first,-0.057 (0.634),0.074 (0.482),-0.322 (0.736),0.490 (0.167),0.591 (0.124),0.310 (0.313)
contextual,ALL,xlmr-2nd-last-layer-subword-avg,-0.024 (0.539),-0.076 (0.576),-0.697 (0.914),0.443 (0.186),0.533 (0.141),-0.455 (0.774)
contextual,ALL,xlmr-avg-all-hidden-subword-first,-0.069 (0.636),0.216 (0.191),-0.666 (0.904),0.204 (0.368),0.481 (0.254),0.712 (0.105)
contextual,ALL,xlmr-avg-all-hidden-subword-avg,-0.094 (0.634),0.737 (0.004),-0.812 (0.947),0.474 (0.185),0.479 (0.181),0.316 (0.316)
contextual,GT,xlmr-CLS,0.514 (0.034),0.355 (0.214),0.273 (0.295),-0.895 (0.974),-0.629 (0.892),-0.766 (0.905)
contextual,GT,xlmr-last-hidden-subword-first,-0.179 (0.698),0.059 (0.431),0.188 (0.359),1.031 (0.018),0.418 (0.318),0.354 (0.273)
contextual,GT,xlmr-last-hidden-subword-avg,0.457 (0.038),0.194 (0.256),0.142 (0.394),0.694 (0.087),0.218 (0.376),-0.014 (0.506)
contextual,GT,xlmr-2nd-last-layer-subword-first,0.155 (0.429),0.097 (0.473),-0.160 (0.621),0.868 (0.040),0.536 (0.177),0.082 (0.468)
contextual,GT,xlmr-2nd-last-layer-subword-avg,0.453 (0.022),-0.016 (0.507),0.183 (0.361),0.790 (0.058),0.610 (0.121),-0.389 (0.741)
contextual,GT,xlmr-avg-all-hidden-subword-first,0.081 (0.488),0.152 (0.350),-0.001 (0.501),0.449 (0.192),0.408 (0.437),0.602 (0.154)
contextual,GT,xlmr-avg-all-hidden-subword-avg,0.554 (0.018),0.575 (0.019),0.124 (0.405),0.895 (0.037),0.407 (0.216),-0.280 (0.672)
contextual,HT,xlmr-CLS,0.810 (0.002),0.389 (0.131),0.050 (0.494),-1.075 (0.992),-0.685 (0.910),-0.425 (0.672)
contextual,HT,xlmr-last-hidden-subword-first,-0.072 (0.592),0.129 (0.333),-0.123 (0.594),0.507 (0.160),0.447 (0.284),0.528 (0.193)
contextual,HT,xlmr-last-hidden-subword-avg,-0.145 (0.690),0.390 (0.086),-0.158 (0.618),0.170 (0.372),0.084 (0.461),-0.018 (0.510)
contextual,HT,xlmr-2nd-last-layer-subword-first,0.027 (0.500),0.077 (0.480),-0.322 (0.736),0.476 (0.177),0.613 (0.101),0.310 (0.313)
contextual,HT,xlmr-2nd-last-layer-subword-avg,0.083 (0.395),0.002 (0.497),-0.697 (0.914),0.297 (0.283),0.596 (0.127),-0.455 (0.774)
contextual,HT,xlmr-avg-all-hidden-subword-first,0.039 (0.500),0.205 (0.199),-0.666 (0.904),0.399 (0.278),0.514 (0.225),0.712 (0.105)
contextual,HT,xlmr-avg-all-hidden-subword-avg,0.314 (0.141),0.756 (0.002),-0.812 (0.947),0.500 (0.190),0.462 (0.205),0.316 (0.316)
static,ALL,fasttext,0.048 (0.430),0.828 (0.001),1.377 (0.000),-0.211 (0.661),-0.014 (0.511),-1.228 (0.992)
static,ALL,xlmr-layer-0-subword-first,-0.304 (0.868),0.186 (0.261),0.541 (0.144),0.418 (0.267),0.522 (0.180),0.958 (0.039)
static,ALL,xlmr-layer-0-subword-avg,-0.237 (0.812),0.833 (0.001),-0.702 (0.917),0.971 (0.008),1.026 (0.007),0.969 (0.054)
static,GT,fasttext,0.630 (0.012),0.590 (0.018),1.165 (0.008),0.355 (0.252),0.376 (0.236),-0.925 (0.943)
static,GT,xlmr-layer-0-subword-first,-0.383 (0.910),0.362 (0.106),0.776 (0.062),-0.607 (0.884),0.255 (0.342),0.883 (0.068)
static,GT,xlmr-layer-0-subword-avg,0.120 (0.339),0.816 (0.002),0.186 (0.361),0.183 (0.379),0.831 (0.047),0.829 (0.079)
static,HT,fasttext,0.551 (0.025),0.825 (0.001),1.377 (0.000),-0.065 (0.549),-0.036 (0.527),-1.228 (0.992)
static,HT,xlmr-layer-0-subword-first,-0.113 (0.651),0.186 (0.264),0.541 (0.144),0.337 (0.387),0.547 (0.192),0.958 (0.039)
static,HT,xlmr-layer-0-subword-avg,0.157 (0.293),0.895 (0.001),-0.702 (0.917),0.504 (0.214),0.697 (0.055),0.969 (0.054)
